               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066087,            0.043574,            0.028245,               0.696,             0.64362,             0.67976,             0.36113,            0.048392,            0.029083,            0.012503,           0.0033287,           0.0033287,            0.070042
                   1,            0.050975,            0.037792,            0.012809,             0.65391,              0.6305,             0.66173,              0.3773,            0.045313,            0.029878,            0.011841,           0.0064422,           0.0064422,            0.039822
                   2,             0.04909,            0.040983,            0.013793,              0.6459,             0.58895,             0.60865,             0.36263,            0.045227,            0.032926,            0.014159,           0.0093357,           0.0093357,           0.0093819
                   3,            0.048237,            0.043651,            0.014866,             0.73758,             0.59598,             0.65611,             0.41093,            0.043394,            0.032818,            0.012941,             0.00901,             0.00901,             0.00901
                   4,            0.046197,            0.042406,            0.013459,             0.76995,             0.58287,             0.66906,             0.41765,            0.042056,            0.031744,            0.012168,             0.00901,             0.00901,             0.00901
                   5,            0.044649,            0.041533,            0.012666,             0.76576,             0.62902,             0.70035,             0.45245,            0.041015,            0.031871,            0.010654,             0.00868,             0.00868,             0.00868
                   6,            0.043466,              0.0409,             0.01178,             0.79789,             0.60695,             0.70745,             0.45712,            0.040289,            0.031398,            0.010383,             0.00835,             0.00835,             0.00835
                   7,              0.0423,            0.039439,            0.011005,             0.80027,              0.6125,               0.694,              0.4581,            0.040275,            0.031279,             0.01075,             0.00802,             0.00802,             0.00802
                   8,            0.041688,            0.039462,            0.010714,             0.77569,             0.64067,             0.71824,             0.47628,            0.039354,            0.030704,            0.010048,             0.00769,             0.00769,             0.00769
                   9,            0.040822,            0.038515,             0.01008,             0.78824,             0.64789,             0.72305,             0.47962,            0.039099,            0.030798,            0.010307,             0.00736,             0.00736,             0.00736
                  10,            0.040273,            0.038324,           0.0095635,             0.78121,             0.66506,             0.73147,             0.48662,            0.038496,            0.030493,           0.0099985,             0.00703,             0.00703,             0.00703
                  11,            0.039624,            0.037413,           0.0093256,              0.7814,             0.64767,             0.71624,             0.47668,            0.038682,            0.030921,           0.0097103,              0.0067,              0.0067,              0.0067
                  12,            0.039042,            0.037421,           0.0088614,             0.79604,             0.64534,              0.7247,             0.48661,            0.038294,            0.030894,           0.0095558,             0.00637,             0.00637,             0.00637
                  13,            0.038501,            0.036592,           0.0086502,             0.80334,             0.64373,             0.72419,              0.4893,            0.038034,            0.030403,           0.0098288,             0.00604,             0.00604,             0.00604
                  14,            0.037992,            0.036153,           0.0084756,             0.76555,             0.66273,             0.73384,             0.49671,            0.038024,            0.030279,           0.0096843,             0.00571,             0.00571,             0.00571
                  15,            0.037556,            0.035927,           0.0079977,             0.79006,             0.65761,             0.73488,             0.50276,            0.037535,            0.030153,           0.0094924,             0.00538,             0.00538,             0.00538
                  16,            0.036859,            0.034819,           0.0077792,             0.79234,             0.66302,               0.735,             0.50514,            0.037575,            0.030248,           0.0093184,             0.00505,             0.00505,             0.00505
                  17,            0.036589,            0.034787,           0.0074351,             0.78509,             0.65896,             0.73413,             0.50578,             0.03764,            0.030789,           0.0096648,             0.00472,             0.00472,             0.00472
                  18,            0.035974,            0.034127,           0.0071583,             0.80846,             0.65852,             0.74228,             0.50669,            0.037582,            0.030594,            0.009195,             0.00439,             0.00439,             0.00439
                  19,            0.035749,            0.034658,           0.0069465,             0.78191,             0.67763,             0.73833,             0.50844,            0.037485,            0.030629,            0.009071,             0.00406,             0.00406,             0.00406
                  20,            0.035239,             0.03341,           0.0067681,             0.78869,             0.64712,             0.72904,             0.50658,            0.037459,            0.030795,           0.0091163,             0.00373,             0.00373,             0.00373
                  21,            0.034774,             0.03327,           0.0065134,             0.78952,             0.65161,             0.73309,             0.51266,            0.037277,            0.030936,            0.009364,              0.0034,              0.0034,              0.0034
                  22,            0.034422,             0.03246,           0.0064047,             0.80622,              0.6596,             0.74139,             0.51275,            0.036875,            0.031017,           0.0093794,             0.00307,             0.00307,             0.00307
                  23,            0.033986,            0.032181,           0.0062467,             0.82941,             0.66296,             0.74462,             0.51896,            0.036888,            0.030851,           0.0091315,             0.00274,             0.00274,             0.00274
                  24,            0.033721,             0.03194,           0.0059058,             0.79487,             0.67775,             0.75146,              0.5235,            0.036705,            0.030903,            0.008916,             0.00241,             0.00241,             0.00241
                  25,            0.033204,            0.031854,           0.0057788,             0.76499,             0.69321,             0.74233,             0.52213,            0.036905,            0.031167,           0.0090848,             0.00208,             0.00208,             0.00208
                  26,             0.03262,            0.031179,           0.0056106,             0.76539,             0.70353,             0.74457,             0.52413,            0.036998,            0.031106,           0.0088889,             0.00175,             0.00175,             0.00175
                  27,            0.032403,             0.03031,           0.0053475,             0.78744,             0.67247,             0.73731,             0.52178,            0.037026,            0.031409,           0.0092821,             0.00142,             0.00142,             0.00142
                  28,            0.031946,            0.030333,            0.005129,             0.82267,             0.66841,              0.7426,             0.52613,            0.037093,            0.031535,           0.0094933,             0.00109,             0.00109,             0.00109
                  29,             0.03166,            0.029875,           0.0051418,              0.8016,             0.67448,             0.73774,             0.52303,            0.037103,            0.031982,            0.009447,             0.00076,             0.00076,             0.00076
                  29,             0.03166,            0.029875,           0.0051418,             0.81963,             0.66849,             0.31559,             0.20635,            0.037093,             0.03153,            0.009493,             0.00076,             0.00076,             0.00076
